original_address,lat,lon,formatted,name,housenumber,street,postcode,district,suburb,city,county,state,confidence_city_level,state_code,country,confidence_street_level,country_code,confidence,attribution,attribution_license,attribution_url
Le Prato,50.61923935,3.07107158621463,"Le Prato, Allée de la Filature, 59024 Lille, France",Le Prato,,Allée de la Filature,59024,Lille,Lille-Moulins,Lille,Nord,Hauts-de-France,,HDF,France,,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
L'Usine de Roubaix,50.6752557,3.1977700771512616,"L'Usine de Roubaix, Roubaix, HDF, France",L'Usine de Roubaix,,,59100,,L'Usine de Roubaix,Roubaix,Nord,Hauts-de-France,1,HDF,France,,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Le Grand Playground,50.6710196,3.1469051,"Grand Playground, 54 Avenue Le Nôtre, 59650 Villeneuve-d'Ascq, France",Grand Playground,54,Avenue Le Nôtre,59650,,Flers-Breucq,Villeneuve-d'Ascq,Nord,Hauts-de-France,,HDF,France,,fr,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
La Gare de Lille-Europe,50.63868,3.07594,"Gare de Lille Europe, Lille, Nord, France",Gare de Lille Europe,,,,Lille,,Lille,Nord,Hauts-de-France,,HDF,France,,fr,0.9,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
La Gare de Lille-Flandres,50.63607,3.07135,"Gare de Lille Flandres, Lille, Nord, France",Gare de Lille Flandres,,,,Lille,,Lille,Nord,Hauts-de-France,,HDF,France,,fr,0.9,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Place de la République,49.11501145,6.172619648622044,"Place de la République, Nouvelle Ville, Metz, Moselle, France",Place de la République,,,,,Nouvelle Ville,Metz,Moselle,Grand Est,,GES,France,,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Maison des étudiants catholiques,47.7420249,-3.3868530139829973,"Maison des Étudiants, Rue de Lanveur, 56100 Lorient, France",Maison des Étudiants,,Rue de Lanveur,56100,,Lanveur,Lorient,Morbihan,Bretagne,,BRE,France,,fr,0.75,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Parc Matisse,48.6548791,2.3471456,"Rue Henri Matisse, 91390 Morsang-sur-Orge, France",Rue Henri Matisse,,Rue Henri Matisse,91390,Parc Beauséjour,Quartier Robespierre,Morsang-sur-Orge,Essonne,Île-de-France,,IDF,France,,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Le Bistrot du Quai,46.4335092,4.2753191,"Le Bistrot du Quai, 1 Avenue de la Libération, 71120 Charolles, France",Le Bistrot du Quai,1,Avenue de la Libération,71120,Cité de Gaulle,,Charolles,Saône-et-Loire,Bourgogne-Franche-Comté,,BFC,France,,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Hôtel de Ville de Lille,50.76511225,3.0061574463551164,"Hôtel de ville, Grand Place, 59560 Comines, France",Hôtel de ville,,Grand Place,59560,,,Comines,Nord,Hauts-de-France,,HDF,France,,fr,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Stade Pierre-Mauroy,50.61190435,3.1305079515303946,"Decathlon Arena-Stade Pierre-Mauroy, Boulevard de Tournai, 59491 Villeneuve-d'Ascq, France",Decathlon Arena-Stade Pierre-Mauroy,,Boulevard de Tournai,59491,,Hôtel-de-Ville,Villeneuve-d'Ascq,Nord,Hauts-de-France,,HDF,France,,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Place Rihour,50.6358368,3.0628173,"Place Rihour, 59800 Lille, France",Place Rihour,,Place Rihour,59800,Lille,Euralille,Lille,Nord,Hauts-de-France,,HDF,France,1,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
