original_name,lat,lon,formatted,name,housenumber,street,postcode,district,suburb,city,county,state,state_code,country,country_code,confidence,attribution,attribution_license,attribution_url
Le Bistrot du Quai lille,48.859077,2.327998,"Rue de Lille Caisse des Depôts, 56 Rue de Lille, 75007 Paris, France",Rue de Lille Caisse des Depôts,56,Rue de Lille,75007,Paris,Saint-Thomas d'Aquin,Paris,Paris,Île-De-France,IDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Hôtel de Ville de Lille,50.76511225,3.0061574463551164,"Hôtel de ville, Grand Place, 59560 Comines, France",Hôtel de ville,,Grand Place,59560,,,Comines,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Stade Pierre-Mauroy lille,50.61190435,3.1305079515303946,"Decathlon Arena-Stade Pierre-Mauroy, Boulevard de Tournai, 59491 Villeneuve-d'Ascq, France",Decathlon Arena-Stade Pierre-Mauroy,,Boulevard de Tournai,59491,,Hôtel-de-Ville,Villeneuve-d'Ascq,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Place Rihour lille,50.6358368,3.0628173,"Place Rihour, 59800 Lille, France",Place Rihour,,Place Rihour,59800,Lille,Euralille,Lille,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Les Moulins de Lille,50.61843105,3.076301373821681,"Résidence Les Hauts de Moulins, Lille-Moulins, Lille, Nord, France",Résidence Les Hauts de Moulins,,,,Lille,Lille-Moulins,Lille,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
École Nationale Supérieure des Arts et Industries Textiles (ENSAIT) lille,50.6945221,3.168123085492458,"École Nationale Supérieure des Arts et Industries Textiles - ENSAIT, 2 Allée Louise et Victor Champier, 59100 Roubaix, France",École Nationale Supérieure des Arts et Industries Textiles - ENSAIT,2,Allée Louise et Victor Champier,59100,,Centre-Ville,Roubaix,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Complexe UGC Ciné Cité Lille,48.859077,2.327998,"Rue de Lille Caisse des Depôts, 56 Rue de Lille, 75007 Paris, France",Rue de Lille Caisse des Depôts,56,Rue de Lille,75007,Paris,Saint-Thomas d'Aquin,Paris,Paris,Île-De-France,IDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lille Neige,50.7565864,3.0004555,"Rue Perce Neige, 59560 Comines, France",Rue Perce Neige,,Rue Perce Neige,59560,,,Comines,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
L’Herbe Folle lille,45.712664,4.631574,"Pierre Folle, 69670 Vaugneray, France",Pierre Folle,,,69670,Vaugneray,,Vaugneray,Rhône,Auvergne-Rhône-Alpes,ARA,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Hospice Gantois lille,50.621933,3.060429,"Gantois, 59046 Lille, France",Gantois,,,59046,Lille,,Lille,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Les 3 Brasseurs lille,50.61339185,3.123113473746348,"3 Brasseurs, Rue Chanzy, 59260 Lezennes, France",3 Brasseurs,,Rue Chanzy,59260,,Les Quatre Cantons,Lezennes,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Quai de Wault lille,50.6372718,3.0538519,"Le Bouchon du Quai du Wault, Quai du Wault, 59800 Lille, France",Le Bouchon du Quai du Wault,,Quai du Wault,59800,Lille,Vieux-Lille,Lille,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Esplanade du Champ de Mars lille,50.641908,3.0513359627211756,"Esplanade du Champ de Mars, 59043 Lille, France",Esplanade du Champ de Mars,,Esplanade du Champ de Mars,59043,Lille,Vauban-Esquermes,Lille,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Rue de Béthune lille,50.7255974,3.1331655,"Rue de Béthune, 59200 Tourcoing, France",Rue de Béthune,,Rue de Béthune,59200,Le Brun Pain,,Tourcoing,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Les Poussins du Jardin Vauban lille,50.623297,3.066542,"Rue du Bas-Jardin, 59000 Lille, France",,,Rue du Bas-Jardin,59000,Lille,,Lille,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Collégiale Saint-Pierre lille,50.6421482,3.0626011,"Vestiges de l'ancienne collégiale Saint-Pierre, 13 Avenue du Peuple Belge, 59043 Lille, France",Vestiges de l'ancienne collégiale Saint-Pierre,13,Avenue du Peuple Belge,59043,Lille,Vieux-Lille,Lille,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Le Musée d'Art Sacré Moderne lille,45.7842186,4.852469829690217,"Musée d'Art Contemporain, Allée Achille Lignon, 69006 Lyon, France",Musée d'Art Contemporain,,Allée Achille Lignon,69006,,Cité Internationale,Lyon,Métropole de Lyon,Auvergne-Rhône-Alpes,ARA,France,fr,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Le Flow - Centre Eurorégional des Cultures Urbaines lille,48.484725,7.006232,"Le Centre, 54540 Bionville, France",,,Le Centre,54540,Allarmont,,Bionville,Vosges,Grand Est,GES,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Palais Rameau lille,50.63429815,3.049949637926539,"Palais Rameau, Rue Patou, 59800 Lille, France",Palais Rameau,,Rue Patou,59800,Lille,Lille-Centre,Lille,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Le Grand Bleu lille,50.6357293,3.0337122,"Le Grand Bleu, 36 Avenue Marx Dormoy, 59000 Lille, France",Le Grand Bleu,36,Avenue Marx Dormoy,59000,Lille,Bois Blancs,Lille,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Grand Place lille,50.7226852,3.1587757319930034,"Grand Place, 59200 Tourcoing, France",Grand Place,,Grand Place,59200,Centre-Ville,Malcense Égalité,Tourcoing,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Le Nouveau Siècle lille,48.897357,2.329117,"Le Nouveau Siècle, 75018 Paris, France",Le Nouveau Siècle,,,75018,Paris,Grandes Carrières,Paris,Paris,Île-De-France,IDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Parc du Héron lille,50.63431575,3.14839573989948,"Parc du Héron, 59491 Villeneuve-d'Ascq, France",Parc du Héron,,,59491,,Saint-Sauveur,Villeneuve-d'Ascq,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Parc Urbain d'EuraTechnologies lille,48.967386,2.288769,"Parc Urbain, 95210 Saint-Gratien, France",,,Parc Urbain,95210,Saint-Gratien,,Saint-Gratien,Val-d'Oise,Île-De-France,IDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Le Prieuré de Loos lille,42.85897,2.636116,"Le Prieuré de Molhet, 11350 Padern, France",,,Le Prieuré de Molhet,11350,Padern,,Padern,Aude,Occitanie,OCC,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Le Théâtre du Nord lille,50.6804416,3.136982280319149,"Le Théâtre, 59 Rue Jean Jaurès, 59290 Wasquehal, France",Le Théâtre,59,Rue Jean Jaurès,59290,,Le Capreau,Wasquehal,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Le Palais de Justice lille,42.69442,9.446347,"Résidence Le Palais de Justice, 20200 Bastia, France",,,Résidence Le Palais de Justice,20200,Bastia,,Bastia,Haute-Corse,Corse,COR,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Université Lille 1,50.609226750000005,3.1408915010403784,"Université de Lille ‐ Cité scientifique, Boulevard du Breucq, 59260 Lezennes, France",Université de Lille ‐ Cité scientifique,,Boulevard du Breucq,59260,,Les Quatre Cantons,Lezennes,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Quartier Bois Blancs lille,50.6309445,3.0229743,"Mairie de quartier Bois-Blancs, Allée Helen Keller, 59373 Lille, France",Mairie de quartier Bois-Blancs,,Allée Helen Keller,59373,Lille,Bois Blancs,Lille,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Chapelle Saint-Joseph lille,50.6214771,3.058832,"Chapelle Saint-Joseph, Boulevard Victor Hugo, 59046 Lille, France",Chapelle Saint-Joseph,,Boulevard Victor Hugo,59046,Lille,Wazemmes,Lille,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Hôtel Bellevue lille,50.6366673,3.0627234176966125,"Grand Hotel Bellevue, Place du Général de Gaulle, 59800 Lille, France",Grand Hotel Bellevue,,Place du Général de Gaulle,59800,Lille,Euralille,Lille,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
L’Aéronef lille,50.6368129,3.0737383,"L'Aéronef, Avenue Willy Brandt, 59777 Lille, France",L'Aéronef,,Avenue Willy Brandt,59777,Lille,Euralille,Lille,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Le Fresnoy - Studio national des arts contemporains lille,50.700089250000005,3.1546985418382416,"Le Fresnoy, Studio National des Arts Contemporains, Voie Rapide Urbaine, 59200 Tourcoing, France","Le Fresnoy, Studio National des Arts Contemporains",,Voie Rapide Urbaine,59200,Le Blanc Sceau,,Tourcoing,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Le Conservatoire de Lille,50.64223,3.06228,"Conservatoire de Lille, Lille, Nord, France",Conservatoire de Lille,,,,Lille,,Lille,Nord,Hauts-de-France,HDF,France,fr,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Le Jardin des Géants lille,50.643055,3.075003,"1 Jardin des Géants, 59800 La Madeleine, France",,1,Jardin des Géants,59800,La Madeleine,,La Madeleine,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Villa Cavrois lille,50.666695849999996,3.1640135032540306,"Villa Cavrois, 60 Avenue John Fitzgerald Kennedy, 59170 Croix, France",Villa Cavrois,60,Avenue John Fitzgerald Kennedy,59170,Croix,,Croix,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
